Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Penn St. (Big Ten),12,10-2,686,2679,3.91,16,16,223.2
Michigan (Big Ten),13,13-0,728,3110,4.27,14,14,239.2
Ohio St. (Big Ten),12,11-1,757,3119,4.12,13,13,259.9
Ohio (MAC),12,9-3,675,3173,4.70,20,21,264.4
Iowa (Big Ten),13,10-3,896,3572,3.99,14,15,274.8
Air Force (Mountain West),12,8-4,686,3327,4.85,26,27,277.2
Clemson (ACC),12,8-4,746,3344,4.48,26,29,278.7
Notre Dame (FBS Independent),12,9-3,765,3395,4.44,21,22,282.9
Texas A&M (SEC),12,7-5,707,3540,5.01,24,30,295.0
Georgia (SEC),13,12-1,795,3838,4.83,26,26,295.2
UCLA (Pac-12),12,7-5,788,3588,4.55,19,23,299.0
SMU (AAC),13,11-2,868,3894,4.49,28,29,299.5
Nebraska (Big Ten),12,5-7,788,3642,4.62,23,24,303.5
Florida St. (ACC),13,13-0,849,3974,4.68,20,23,305.7
Troy (Sun Belt),13,11-2,840,3984,4.74,25,26,306.5
Louisville (ACC),13,10-3,783,3995,5.10,29,32,307.3
Utah (Pac-12),12,8-4,696,3703,5.32,28,30,308.6
Alabama (SEC),13,12-1,824,4073,4.94,28,28,313.3
Rutgers (Big Ten),12,6-6,754,3764,4.99,29,32,313.7
Ball St. (MAC),12,4-8,732,3790,5.18,32,35,315.8
NIU (MAC),12,6-6,755,3803,5.04,31,31,316.9
Oregon (Pac-12),13,11-2,841,4164,4.95,25,26,320.3
Texas (Big 12),13,12-1,830,4182,5.04,26,26,321.7
Virginia Tech (ACC),12,6-6,746,3866,5.18,36,38,322.2
NC State (ACC),12,9-3,729,3882,5.33,29,30,323.5
Miami (FL) (ACC),12,7-5,748,3889,5.20,31,31,324.1
Miami (OH) (MAC),13,11-2,860,4237,4.93,23,24,325.9
South Alabama (Sun Belt),12,6-6,752,3922,5.22,29,33,326.8
Bowling Green (MAC),12,7-5,749,3958,5.28,33,36,329.8
Toledo (MAC),13,11-2,868,4291,4.94,29,32,330.1
Wisconsin (Big Ten),12,7-5,804,3980,4.95,27,28,331.7
Tulane (AAC),13,11-2,847,4325,5.11,27,28,332.7
Akron (MAC),12,2-10,776,4020,5.18,42,43,335.0
Maryland (Big Ten),12,7-5,817,4043,4.95,29,32,336.9
Oregon St. (Pac-12),12,8-4,772,4083,5.29,32,32,340.2
Arizona (Pac-12),12,9-3,776,4091,5.27,31,31,340.9
East Carolina (AAC),12,2-10,781,4096,5.24,32,33,341.3
Missouri (SEC),12,10-2,770,4166,5.41,30,31,347.2
Tennessee (SEC),12,8-4,816,4184,5.13,28,30,348.7
Iowa St. (Big 12),12,7-5,838,4191,5.00,28,31,349.2
Mississippi St. (SEC),12,5-7,789,4207,5.33,35,39,350.6
Northwestern (Big Ten),12,7-5,797,4219,5.29,34,35,351.6
Kentucky (SEC),12,7-5,800,4229,5.29,35,35,352.4
Navy (AAC),12,5-7,768,4244,5.53,30,35,353.7
Duke (ACC),12,7-5,826,4255,5.15,25,26,354.6
