Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
ULM (Sun Belt),12,4-8,44,384,32.0
Kansas (Big 12),12,2-10,49,404,33.67
LSU (SEC),13,6-7,56,443,34.08
Eastern Mich. (MAC),13,7-6,50,448,34.46
Iowa (Big Ten),14,10-4,57,505,36.07
Navy (AAC),12,4-8,53,434,36.17
Army West Point (FBS Independent),13,9-4,50,479,36.85
UNLV (Mountain West),12,2-10,54,455,37.92
Iowa St. (Big 12),13,7-6,63,502,38.62
Air Force (Mountain West),13,10-3,56,510,39.23
Memphis (AAC),12,6-6,58,475,39.58
Washington (Pac-12),12,4-8,52,479,39.92
Ball St. (MAC),13,6-7,64,531,40.85
Rutgers (Big Ten),13,5-8,65,533,41.0
Indiana (Big Ten),12,2-10,56,495,41.25
BYU (FBS Independent),13,10-3,66,539,41.46
Michigan (Big Ten),14,12-2,68,581,41.5
Kentucky (SEC),13,10-3,63,548,42.15
Northwestern (Big Ten),12,3-9,57,508,42.33
Vanderbilt (SEC),12,2-10,66,508,42.33
Georgia (SEC),15,14-1,77,638,42.53
Purdue (Big Ten),13,9-4,58,557,42.85
West Virginia (Big 12),13,6-7,67,561,43.15
Wisconsin (Big Ten),13,9-4,70,567,43.62
South Alabama (Sun Belt),12,5-7,58,531,44.25
Texas Tech (Big 12),13,7-6,68,580,44.62
Temple (AAC),12,3-9,70,538,44.83
Wyoming (Mountain West),13,7-6,66,584,44.92
Nebraska (Big Ten),12,3-9,64,540,45.0
Hawaii (Mountain West),13,6-7,68,586,45.08
Utah (Pac-12),14,10-4,67,632,45.14
NIU (MAC),14,9-5,70,634,45.29
Minnesota (Big Ten),13,9-4,58,589,45.31
Ga. Southern (Sun Belt),12,3-9,68,544,45.33
Stanford (Pac-12),12,3-9,78,544,45.33
Troy (Sun Belt),12,5-7,62,544,45.33
Kansas St. (Big 12),13,8-5,71,595,45.77
South Carolina (SEC),13,7-6,76,597,45.92
Arkansas St. (Sun Belt),12,2-10,67,552,46.0
Penn St. (Big Ten),13,7-6,70,599,46.08
Akron (MAC),12,2-10,68,553,46.08
South Fla. (AAC),12,2-10,61,553,46.08
Virginia Tech (ACC),13,6-7,70,601,46.23
Auburn (SEC),13,6-7,74,603,46.38
Washington St. (Pac-12),13,7-6,69,603,46.38
Texas (Big 12),12,5-7,69,579,48.25
Baylor (Big 12),14,12-2,75,677,48.36
East Carolina (AAC),12,7-5,64,585,48.75
UConn (FBS Independent),12,1-11,81,590,49.17
Notre Dame (FBS Independent),13,11-2,73,642,49.38
Boise St. (Mountain West),12,7-5,60,595,49.58
Boston College (ACC),12,6-6,65,596,49.67
Georgia St. (Sun Belt),13,8-5,69,651,50.08
Louisiana (Sun Belt),14,13-1,77,706,50.43
Clemson (ACC),13,10-3,79,657,50.54
UTSA (C-USA),14,12-2,71,708,50.57
Tulane (AAC),12,2-10,72,611,50.92
Georgia Tech (ACC),12,3-9,73,614,51.17
Coastal Carolina (Sun Belt),13,11-2,70,666,51.23
Buffalo (MAC),12,4-8,65,624,52.0
Louisiana Tech (C-USA),12,3-9,81,625,52.08
FIU (C-USA),12,1-11,71,626,52.17
SMU (AAC),12,8-4,67,627,52.25
Wake Forest (ACC),14,11-3,81,737,52.64
Illinois (Big Ten),12,5-7,61,633,52.75
App State (Sun Belt),14,10-4,85,744,53.14
Charlotte (C-USA),12,5-7,78,641,53.42
UCF (AAC),13,9-4,80,696,53.54
Western Ky. (C-USA),14,9-5,95,758,54.14
Cincinnati (AAC),14,13-1,102,759,54.21
Oklahoma St. (Big 12),14,12-2,84,771,55.07
Nevada (Mountain West),13,8-5,85,716,55.08
Texas A&M (SEC),12,8-4,77,661,55.08
Louisville (ACC),13,6-7,81,719,55.31
Utah St. (Mountain West),14,11-3,87,778,55.57
