Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Tennessee (SEC),13,11-2,945,6832,7.23,78,525.5
Washington (Pac-12),13,11-2,975,6705,6.88,65,515.8
Southern California (Pac-12),14,11-3,988,7092,7.18,73,506.6
UCLA (Pac-12),13,9-4,934,6547,7.01,65,503.6
Georgia (SEC),15,15-0,1049,7518,7.17,75,501.2
Oregon (Pac-12),13,10-3,940,6507,6.92,64,500.5
Western Ky. (CUSA),14,9-5,1037,6962,6.71,58,497.3
Ole Miss (SEC),13,8-5,1001,6453,6.45,55,496.4
Ohio St. (Big Ten),13,11-2,876,6379,7.28,72,490.7
Florida St. (ACC),13,10-3,904,6295,6.96,61,484.2
Alabama (SEC),13,11-2,896,6202,6.92,63,477.1
UTSA (CUSA),14,11-3,1046,6664,6.37,62,476.0
Oklahoma (Big 12),13,6-7,988,6162,6.24,55,474.0
SMU (AAC),13,7-6,1005,6147,6.12,62,472.8
Arkansas (SEC),13,7-6,962,6114,6.36,53,470.3
UCF (AAC),14,9-5,1066,6574,6.17,57,469.6
Utah (Pac-12),14,10-4,1006,6536,6.50,69,466.9
Ga. Southern (Sun Belt),13,6-7,982,6067,6.18,51,466.7
North Carolina (ACC),14,9-5,1034,6479,6.27,62,462.8
Arizona (Pac-12),12,5-7,811,5543,6.83,45,461.9
North Texas (CUSA),14,7-7,968,6465,6.68,58,461.8
Texas Tech (Big 12),13,8-5,1094,5998,5.48,54,461.4
East Carolina (AAC),13,8-5,906,5994,6.62,53,461.1
Michigan (Big Ten),14,13-1,970,6423,6.62,65,458.8
Houston (AAC),13,8-5,902,5926,6.57,57,455.8
App State (Sun Belt),12,6-6,833,5464,6.56,55,455.3
TCU (Big 12),15,13-2,1020,6825,6.69,70,455.0
LSU (SEC),14,10-4,997,6344,6.36,62,453.1
Wake Forest (ACC),13,8-5,978,5751,5.88,60,442.4
Tulane (AAC),14,12-2,936,6179,6.60,64,441.4
Kansas (Big 12),13,6-7,817,5702,6.98,61,438.6
UAB (CUSA),13,7-6,849,5697,6.71,47,438.2
Penn St. (Big Ten),13,11-2,911,5637,6.19,57,433.6
Texas (Big 12),13,8-5,875,5584,6.38,51,429.5
BYU (FBS Independent),13,8-5,830,5542,6.68,51,426.3
South Alabama (Sun Belt),13,10-3,951,5517,5.80,47,424.4
Florida (SEC),13,6-7,838,5513,6.58,47,424.1
Memphis (AAC),13,7-6,947,5478,5.78,53,421.4
Ohio (MAC),14,10-4,957,5897,6.16,51,421.2
Kansas St. (Big 12),14,10-4,958,5863,6.12,53,418.8
Kent St. (MAC),12,5-7,866,5007,5.78,40,417.2
Georgia St. (Sun Belt),12,4-8,875,5005,5.72,44,417.1
Duke (ACC),13,9-4,884,5404,6.11,51,415.7
Baylor (Big 12),13,6-7,927,5380,5.80,53,413.8
Tulsa (AAC),12,5-7,843,4942,5.86,45,411.8
Fla. Atlantic (CUSA),12,5-7,870,4938,5.68,44,411.5
Clemson (ACC),14,11-3,1026,5744,5.60,55,410.3
Louisville (ACC),13,8-5,886,5280,5.96,38,406.2
Pittsburgh (ACC),13,9-4,912,5275,5.78,43,405.8
Coastal Carolina (Sun Belt),13,9-4,874,5271,6.03,49,405.5
Oklahoma St. (Big 12),13,7-6,1000,5266,5.27,44,405.1
Fresno St. (Mountain West),14,10-4,939,5639,6.01,50,402.8
Toledo (MAC),14,9-5,1020,5637,5.53,54,402.6
Maryland (Big Ten),13,8-5,915,5220,5.70,44,401.5
Purdue (Big Ten),14,8-6,1049,5597,5.34,43,399.8
West Virginia (Big 12),12,5-7,870,4788,5.50,44,399.0
Marshall (Sun Belt),13,9-4,963,5173,5.37,36,397.9
Air Force (Mountain West),13,10-3,889,5163,5.81,45,397.2
Notre Dame (FBS Independent),13,9-4,870,5150,5.92,50,396.2
Oregon St. (Pac-12),13,10-3,846,5148,6.09,52,396.0
Mississippi St. (SEC),13,9-4,929,5108,5.50,48,392.9
Louisiana Tech (CUSA),12,3-9,833,4704,5.65,39,392.0
South Fla. (AAC),12,1-11,767,4690,6.11,43,390.8
