Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Liberty (FBS Independent),13,8-5,85,72,510,121,9.3
Southern Miss. (Sun Belt),13,7-6,77,62,407,108,8.3
Central Mich. (MAC),12,4-8,77,44,398,99,8.2
Oklahoma (Big 12),13,6-7,69,70,407,104,8.0
Penn St. (Big Ten),13,11-2,86,36,434,104,8.0
Clemson (ACC),14,11-3,88,46,430,111,7.9
Louisville (ACC),13,8-5,75,44,461,97,7.5
Oklahoma St. (Big 12),13,7-6,74,44,299,96,7.4
Temple (AAC),12,3-9,74,28,341,88,7.3
Houston (AAC),13,8-5,70,48,343,94,7.2
Tennessee (SEC),13,11-2,77,34,377,94,7.2
Utah St. (Mountain West),13,6-7,59,70,310,94,7.2
San Jose St. (Mountain West),12,7-5,71,30,352,86,7.2
Cincinnati (AAC),13,9-4,70,46,363,93,7.2
Coastal Carolina (Sun Belt),13,9-4,60,66,376,93,7.2
Missouri (SEC),13,6-7,80,26,329,93,7.2
NC State (ACC),13,8-5,57,70,346,92,7.1
Pittsburgh (ACC),13,9-4,73,36,428,91,7.0
Texas Tech (Big 12),13,8-5,72,38,343,91,7.0
Alabama (SEC),13,11-2,67,46,368,90,6.9
Marshall (Sun Belt),13,9-4,61,58,343,90,6.9
Miami (FL) (ACC),12,5-7,61,44,285,83,6.9
Middle Tenn. (CUSA),13,8-5,70,38,412,89,6.8
San Diego St. (Mountain West),13,7-6,62,54,420,89,6.8
Boston College (ACC),12,3-9,61,42,293,82,6.8
Toledo (MAC),14,9-5,72,46,379,95,6.8
Bowling Green (MAC),13,6-7,68,40,353,88,6.8
Virginia Tech (ACC),11,3-8,48,52,258,74,6.7
Iowa (Big Ten),13,8-5,60,54,376,87,6.7
Texas (Big 12),13,8-5,64,46,312,87,6.7
Wake Forest (ACC),13,8-5,62,50,403,87,6.7
Western Mich. (MAC),12,5-7,62,36,323,80,6.7
Mississippi St. (SEC),13,9-4,57,58,312,86,6.6
Ohio St. (Big Ten),13,11-2,72,28,334,86,6.6
Ohio (MAC),14,10-4,68,48,403,92,6.6
UTSA (CUSA),14,11-3,64,56,315,92,6.6
Wisconsin (Big Ten),13,7-6,65,40,331,85,6.5
Navy (AAC),12,4-8,55,46,318,78,6.5
Florida St. (ACC),13,10-3,63,42,343,84,6.5
Notre Dame (FBS Independent),13,9-4,57,54,362,84,6.5
Utah (Pac-12),14,10-4,69,42,410,90,6.4
Texas St. (Sun Belt),12,4-8,58,38,287,77,6.4
Arkansas St. (Sun Belt),12,3-9,52,48,242,76,6.3
Michigan St. (Big Ten),12,5-7,56,40,320,76,6.3
Nevada (Mountain West),12,2-10,63,26,282,76,6.3
UTEP (CUSA),12,5-7,52,48,286,76,6.3
Buffalo (MAC),13,7-6,60,44,320,82,6.3
South Alabama (Sun Belt),13,10-3,62,40,341,82,6.3
Georgia Tech (ACC),12,5-7,62,26,286,75,6.2
Illinois (Big Ten),13,8-5,63,36,341,81,6.2
Ole Miss (SEC),13,8-5,65,32,360,81,6.2
Georgia St. (Sun Belt),12,4-8,46,56,286,74,6.2
Old Dominion (Sun Belt),12,3-9,47,54,301,74,6.2
Washington St. (Pac-12),13,7-6,59,42,352,80,6.2
Arkansas (SEC),13,7-6,67,24,332,79,6.1
Syracuse (ACC),13,7-6,63,32,320,79,6.1
Georgia (SEC),15,15-0,75,32,377,91,6.1
Massachusetts (FBS Independent),12,1-11,50,44,223,72,6.0
East Carolina (AAC),13,8-5,56,42,305,77,5.9
FIU (CUSA),12,4-8,56,30,252,71,5.9
Texas A&M (SEC),12,5-7,57,28,241,71,5.9
Kent St. (MAC),12,5-7,56,28,241,70,5.8
Fresno St. (Mountain West),14,10-4,66,30,315,81,5.8
New Mexico St. (FBS Independent),13,7-6,59,32,280,75,5.8
TCU (Big 12),15,13-2,68,36,313,86,5.7
Boise St. (Mountain West),14,10-4,60,40,338,80,5.7
ULM (Sun Belt),12,4-8,56,24,257,68,5.7
West Virginia (Big 12),12,5-7,52,32,287,68,5.7
Southern California (Pac-12),14,11-3,65,28,371,79,5.6
Troy (Sun Belt),14,12-2,52,54,386,79,5.6
Stanford (Pac-12),12,3-9,52,30,266,67,5.6
Wyoming (Mountain West),13,7-6,58,28,310,72,5.5
Colorado St. (Mountain West),12,3-9,49,34,249,66,5.5
Oregon St. (Pac-12),13,10-3,48,46,282,71,5.5
UCF (AAC),14,9-5,59,34,281,76,5.4
App State (Sun Belt),12,6-6,51,28,266,65,5.4
Ball St. (MAC),12,5-7,48,34,251,65,5.4
Rutgers (Big Ten),12,4-8,51,28,250,65,5.4
Duke (ACC),13,9-4,54,32,373,70,5.4
Florida (SEC),13,6-7,56,28,252,70,5.4
Washington (Pac-12),13,11-2,57,26,318,70,5.4
Iowa St. (Big 12),12,4-8,44,40,245,64,5.3
NIU (MAC),12,3-9,50,28,284,64,5.3
Vanderbilt (SEC),12,5-7,48,30,190,63,5.2
Air Force (Mountain West),13,10-3,52,32,287,68,5.2
LSU (SEC),14,10-4,52,42,287,73,5.2
Michigan (Big Ten),14,13-1,61,24,356,73,5.2
Indiana (Big Ten),12,4-8,44,37,265,62,5.2
Auburn (SEC),12,5-7,54,16,269,62,5.2
Charlotte (CUSA),12,3-9,46,32,196,62,5.2
New Mexico (Mountain West),12,2-10,42,40,252,62,5.2
