Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Clemson (ACC),15,15-0,23,20,0,0,13,0,197,13.1
Mississippi St. (SEC),13,8-5,15,15,0,0,22,0,171,13.2
Fresno St. (Mountain West),14,12-2,23,19,1,0,13,0,198,14.1
App State (Sun Belt),13,11-2,21,21,0,0,18,0,201,15.5
Washington (Pac-12),14,10-4,26,20,0,1,17,0,229,16.4
Kentucky (SEC),13,10-3,27,24,0,0,11,0,219,16.8
UAB (C-USA),14,11-3,28,25,0,0,15,0,238,17.0
Michigan St. (Big Ten),13,7-6,24,22,2,0,17,1,223,17.2
Cincinnati (AAC),13,11-2,28,26,0,0,10,0,224,17.2
Army West Point (FBS Independent),13,11-2,30,23,3,0,7,0,230,17.7
Iowa (Big Ten),13,9-4,28,25,1,0,12,0,231,17.8
Alabama (SEC),15,14-1,35,34,0,0,9,0,271,18.1
Notre Dame (FBS Independent),13,12-1,28,25,1,0,14,0,237,18.2
Auburn (SEC),13,8-5,26,25,0,0,22,1,249,19.2
Georgia (SEC),14,11-3,32,28,2,0,15,0,269,19.2
Michigan (Big Ten),13,10-3,32,30,0,0,10,0,252,19.4
Utah (Pac-12),14,9-5,35,33,1,0,9,0,272,19.4
Miami (FL) (ACC),13,7-6,28,28,0,0,19,0,253,19.5
Southern Miss. (C-USA),11,6-5,27,24,1,0,10,0,218,19.8
Florida (SEC),13,10-3,30,25,1,0,17,1,260,20.0
Virginia (ACC),13,8-5,30,25,3,0,16,1,261,20.1
California (Pac-12),13,7-6,32,29,1,0,14,0,265,20.4
Penn St. (Big Ten),13,9-4,34,32,0,0,9,2,267,20.5
BYU (FBS Independent),13,7-6,37,33,1,0,7,0,278,21.4
Ga. Southern (Sun Belt),13,10-3,35,30,2,0,12,0,280,21.5
LSU (SEC),13,10-3,35,26,4,0,13,0,283,21.8
Marshall (C-USA),13,9-4,33,30,1,0,18,0,284,21.8
Troy (Sun Belt),13,10-3,38,31,3,0,7,0,286,22.0
Wyoming (Mountain West),12,6-6,33,30,0,0,12,0,264,22.0
Boise St. (Mountain West),13,10-3,35,32,0,0,15,0,287,22.1
Eastern Mich. (MAC),13,7-6,34,29,0,0,18,0,287,22.1
San Diego St. (Mountain West),13,7-6,35,27,3,0,13,3,288,22.2
Utah St. (Mountain West),13,11-2,33,24,4,0,19,1,289,22.2
Wisconsin (Big Ten),13,8-5,33,31,1,0,21,0,294,22.6
NIU (MAC),14,8-6,35,28,1,0,25,1,317,22.6
UCF (AAC),13,12-1,35,31,0,0,18,0,295,22.7
Iowa St. (Big 12),13,8-5,37,37,0,0,13,0,298,22.9
Stanford (Pac-12),13,9-4,33,32,0,0,22,1,298,22.9
Louisiana Tech (C-USA),13,8-5,39,36,0,0,9,1,299,23.0
TCU (Big 12),13,7-6,38,35,0,0,11,2,300,23.1
Northwestern (Big Ten),14,9-5,38,33,1,0,20,1,325,23.2
Washington St. (Pac-12),13,11-2,38,33,2,0,12,1,303,23.3
North Texas (C-USA),13,9-4,38,35,2,0,15,1,314,24.2
Ohio (MAC),13,9-4,42,37,1,0,9,1,320,24.6
NC State (ACC),13,9-4,39,37,1,0,17,0,324,24.9
FIU (C-USA),13,9-4,42,39,2,0,11,0,328,25.2
Texas A&M (SEC),13,9-4,43,36,4,0,9,0,329,25.3
