Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
UAlbany (CAA),12,7-5,20,10,30,6,9,15,15,1.25
James Madison (CAA),13,9-4,14,14,28,6,8,14,14,1.08
Montana (Big Sky),14,9-5,11,14,25,4,7,11,14,1.00
N.C. Central (MEAC),12,7-5,19,11,30,12,6,18,12,1.00
N.C. A&T (MEAC),12,9-3,15,21,36,16,8,24,12,1.00
William & Mary (CAA),12,7-5,13,9,22,7,4,11,11,0.92
Wagner (NEC),11,7-4,8,18,26,8,8,16,10,0.91
Dayton (Pioneer),11,8-3,11,17,28,7,11,18,10,0.91
Maine (CAA),11,5-6,8,14,22,7,5,12,10,0.91
UNI (MVFC),14,9-5,14,17,31,7,12,19,12,0.86
Northwestern St. (Southland),12,6-6,15,15,30,6,14,20,10,0.83
Missouri St. (MVFC),12,4-8,9,13,22,4,8,12,10,0.83
Idaho St. (Big Sky),12,8-4,7,19,26,6,10,16,10,0.83
Jacksonville (Pioneer),11,9-2,6,24,30,8,13,21,9,0.82
Georgetown (Patriot),11,3-8,8,13,21,6,6,12,9,0.82
North Dakota St. (MVFC),16,15-1,9,19,28,6,10,16,12,0.75
Southeastern La. (Southland),13,9-4,7,21,28,10,9,19,9,0.69
Cal Poly (Big Sky),12,7-5,4,11,15,4,3,7,8,0.67
Charleston So. (Big South),12,8-4,8,15,23,3,12,15,8,0.67
Indiana St. (MVFC),14,8-6,15,14,29,8,12,20,9,0.64
Monmouth (Big South),11,6-5,12,14,26,10,9,19,7,0.64
Bryant (NEC),11,8-3,7,14,21,3,11,14,7,0.64
Mercer (SoCon),12,6-6,11,13,24,7,10,17,7,0.58
Eastern Wash. (Big Sky),14,11-3,9,19,28,11,9,20,8,0.57
Central Ark. (Southland),12,6-6,10,16,26,8,12,20,6,0.50
Villanova (CAA),14,11-3,12,15,27,16,4,20,7,0.50
Alcorn (SWAC),13,10-3,11,18,29,16,7,23,6,0.46
New Hampshire (CAA),14,12-2,13,14,27,11,10,21,6,0.43
Chattanooga (SoCon),14,10-4,9,13,22,8,8,16,6,0.43
Liberty (Big South),14,9-5,15,17,32,12,14,26,6,0.43
Fordham (Patriot),14,11-3,11,13,24,5,13,18,6,0.43
Colgate (Patriot),12,5-7,5,15,20,6,9,15,5,0.42
Western Caro. (SoCon),12,7-5,14,11,25,8,12,20,5,0.42
Dartmouth (Ivy League),10,8-2,5,12,17,6,7,13,4,0.40
McNeese (Southland),11,6-5,7,14,21,7,10,17,4,0.36
Butler (Pioneer),11,4-7,10,11,21,7,10,17,4,0.36
